Strain	Single_tel_length	Clade	Gene	CN
BTI	304.25	M3.Mosaic_Region_3	ATP8	8
CGB	331.75	M3.Mosaic_Region_3	ATP8	6.5
BSK	183.125	M3.Mosaic_Region_3	ATP8	6.5
BMD	296	M3.Mosaic_Region_3	ATP8	1.5
BRV	200.125	M3.Mosaic_Region_3	ATP8	10.5
CKA	218.125	M3.Mosaic_Region_3	ATP8	2.5
CHS	151.5	M3.Mosaic_Region_3	ATP8	18
CHT	132.5	M3.Mosaic_Region_3	ATP8	7
ATD	325.625	M3.Mosaic_Region_3	ATP8	19.5
CDD	336	M3.Mosaic_Region_3	ATP8	6.5
CDE	308.5	M3.Mosaic_Region_3	ATP8	6.5
CPC	128.875	M3.Mosaic_Region_3	ATP8	6.5
CKN	181.75	M3.Mosaic_Region_3	ATP8	6
CIG	118.25	M3.Mosaic_Region_3	ATP8	4.5
CIL	134.125	M3.Mosaic_Region_3	ATP8	4.5
CII	160.5	M3.Mosaic_Region_3	ATP8	6
AEL	363.625	M3.Mosaic_Region_3	ATP8	30.5
BIE	192.75	M3.Mosaic_Region_3	ATP8	19.5
CIH	241.875	M3.Mosaic_Region_3	ATP8	4.5
CIC	134.625	M3.Mosaic_Region_3	ATP8	3.5
CIF	179.875	M3.Mosaic_Region_3	ATP8	5
CID	123.5	M3.Mosaic_Region_3	ATP8	11.5
CHN	302.375	M3.Mosaic_Region_3	ATP8	4
CHP	274.875	M3.Mosaic_Region_3	ATP8	3.5
BDM	256.75	M3.Mosaic_Region_3	ATP8	23
CEQ	245.375	M3.Mosaic_Region_3	ATP8	4
BAF	207.5	13.African_palm_wine	ATP8	9.5
CFA	222.375	13.African_palm_wine	ATP8	9
CQA	227	13.African_palm_wine	ATP8	1
CQB	184.375	13.African_palm_wine	ATP8	2
AKG	205.25	13.African_palm_wine	ATP8	9.5
AKB	267.125	13.African_palm_wine	ATP8	14
AKE	206.75	13.African_palm_wine	ATP8	16
AKH	219	13.African_palm_wine	ATP8	17.5
APQ	295.875	13.African_palm_wine	ATP8	7
ATP	175.875	13.African_palm_wine	ATP8	8.5
BAM	195.625	14.CHNIII	ATP8	15.5
BAQ	190.375	14.CHNIII	ATP8	18.5
BAG	163	15.CHNII	ATP8	7
BAH	232.125	15.CHNII	ATP8	12
BAL	224.125	16.CHNI	ATP8	14.5
AMH	204.75	17.Taiwanese	ATP8	7.5
CEG	286	17.Taiwanese	ATP8	6
CEI	394.125	17.Taiwanese	ATP8	7
CCQ	223.625	18.Far_East_Asia	ATP8	9
CCR	218.75	18.Far_East_Asia	ATP8	7
CCS	227.25	18.Far_East_Asia	ATP8	4.5
BAK	213	18.Far_East_Asia	ATP8	15
BAI	168.875	18.Far_East_Asia	ATP8	9.5
CCN	262.375	18.Far_East_Asia	ATP8	8
CDL	269.25	18.Far_East_Asia	ATP8	10.5
BMA	116.75	19.Malaysian	ATP8	1.5
AKM	134.75	19.Malaysian	ATP8	6.5
BMB	156.25	19.Malaysian	ATP8	1
BMC	166.125	19.Malaysian	ATP8	1
AMM	257.125	99.Other	ATP8	9
BAN	225	20.CHNV	ATP8	16.5
BAP	215.875	20.CHNV	ATP8	14
CMP	116.875	21.Ecuadorean	ATP8	15.5
CCC	283	21.Ecuadorean	ATP8	7
CCD	74	21.Ecuadorean	ATP8	13.5
CCE	241.125	21.Ecuadorean	ATP8	8.5
CCF	260.25	21.Ecuadorean	ATP8	7
CCG	106.375	21.Ecuadorean	ATP8	10.5
CMQ	144.5	21.Ecuadorean	ATP8	7
BFA	305.75	99.Other	ATP8	1
BFL	317.25	99.Other	ATP8	1
AMB	199.5	99.Other	ATP8	15
AMC	163.5	99.Other	ATP8	8
CDQ	301	99.Other	ATP8	8.5
CDF	244.25	22.Russian	ATP8	8
CDG	341	22.Russian	ATP8	10.5
CDH	328	22.Russian	ATP8	8
CDI	267.625	22.Russian	ATP8	9
AMD	181.875	99.Other	ATP8	6.5
AMF	233.875	99.Other	ATP8	7
CEH	236.375	99.Other	ATP8	7
CCP	231.75	99.Other	ATP8	8
CDB	307.75	99.Other	ATP8	6
AVI	253.75	23.North_American	ATP8	17.5
ANF	192.5	23.North_American	ATP8	8.5
ANH	194	23.North_American	ATP8	9
ANC	223.625	23.North_American	ATP8	8.5
ANE	195.5	23.North_American	ATP8	8.5
ANG	182.25	23.North_American	ATP8	7
AND	223.125	23.North_American	ATP8	8
ANK	176.5	23.North_American	ATP8	8
ANI	256.25	23.North_American	ATP8	8.5
AKN	215	23.North_American	ATP8	10
BBR	196.25	99.Other	ATP8	14
CMS	120	99.Other	ATP8	17.5
CDP	271.875	99.Other	ATP8	10.5
AFK	192.75	24.Asian_islands	ATP8	18.5
CCT	318.375	24.Asian_islands	ATP8	7.5
CCV	250.375	24.Asian_islands	ATP8	12
CMH	314.375	25.Sake	ATP8	4
ARM	346.625	25.Sake	ATP8	15
CLI	194.125	25.Sake	ATP8	6
CMK	339	25.Sake	ATP8	5
CLN	220.5	25.Sake	ATP8	7
APA	340	25.Sake	ATP8	13
CMI	323.75	25.Sake	ATP8	11.5
ANS	300.75	25.Sake	ATP8	9
AQN	221.125	25.Sake	ATP8	0.5
APC	244.875	25.Sake	ATP8	8
CLP	197.625	25.Sake	ATP8	5
APF	250.5	25.Sake	ATP8	6.5
CLS	204.875	25.Sake	ATP8	1.5
CLL	146.75	25.Sake	ATP8	4
CLR	134.375	25.Sake	ATP8	5
CGL	308.75	26.Asian_fermentation	ATP8	3.5
AGG	49.625	26.Asian_fermentation	ATP8	11
AEP	235	26.Asian_fermentation	ATP8	17
CGI	232.5	26.Asian_fermentation	ATP8	7.5
CGN	374.25	26.Asian_fermentation	ATP8	5
CGP	409.875	26.Asian_fermentation	ATP8	4
CGG	198.75	26.Asian_fermentation	ATP8	6.5
CGR	359.375	26.Asian_fermentation	ATP8	4.5
BEH	205.25	26.Asian_fermentation	ATP8	12.5
AKL	245.5	26.Asian_fermentation	ATP8	12
ALB	193.375	26.Asian_fermentation	ATP8	16.5
AKR	183.625	26.Asian_fermentation	ATP8	15
ALC	180	26.Asian_fermentation	ATP8	18.5
ALH	141.125	26.Asian_fermentation	ATP8	23.5
ALA	129.25	26.Asian_fermentation	ATP8	9
CGQ	259.125	26.Asian_fermentation	ATP8	5.5
CGK	295.125	26.Asian_fermentation	ATP8	4.5
CHM	212	26.Asian_fermentation	ATP8	6
BHP	182.5	26.Asian_fermentation	ATP8	1.5
