Strain,Single_tel_length,Clade,Gene,CN
ANF,192.5,23.North_American,YFR054C,1
ANH,194,23.North_American,YFR054C,1
ANC,223.625,23.North_American,YFR054C,1
ANE,195.5,23.North_American,YFR054C,1
ANG,182.25,23.North_American,YFR054C,1
AND,223.125,23.North_American,YFR054C,1
ANK,176.5,23.North_American,YFR054C,1
ANI,256.25,23.North_American,YFR054C,1
AKN,215,23.North_American,YFR054C,1
BBR,196.25,99.Other,YFR054C,1
CMS,120,99.Other,YFR054C,1
CDP,271.875,99.Other,YFR054C,1
CCT,318.375,24.Asian_islands,YFR054C,1
CCV,250.375,24.Asian_islands,YFR054C,1
ARG,256.25,24.Asian_islands,YFR054C,1
CMH,314.375,25.Sake,YFR054C,1
ARM,346.625,25.Sake,YFR054C,1
CLI,194.125,25.Sake,YFR054C,1
CMK,339,25.Sake,YFR054C,1
CLN,220.5,25.Sake,YFR054C,1
APA,340,25.Sake,YFR054C,1
CMI,323.75,25.Sake,YFR054C,1
ANS,300.75,25.Sake,YFR054C,1
AQN,221.125,25.Sake,YFR054C,1
APC,244.875,25.Sake,YFR054C,1
CLP,197.625,25.Sake,YFR054C,1
APF,250.5,25.Sake,YFR054C,1
CLS,204.875,25.Sake,YFR054C,>1
CLL,146.75,25.Sake,YFR054C,1
CLR,134.375,25.Sake,YFR054C,1
CGL,308.75,26.Asian_fermentation,YFR054C,1
AGG,49.625,26.Asian_fermentation,YFR054C,1
AEP,235,26.Asian_fermentation,YFR054C,1
CGI,232.5,26.Asian_fermentation,YFR054C,1
CGN,374.25,26.Asian_fermentation,YFR054C,1
CGP,409.875,26.Asian_fermentation,YFR054C,1
CGG,198.75,26.Asian_fermentation,YFR054C,1
CGR,359.375,26.Asian_fermentation,YFR054C,1
BEH,205.25,26.Asian_fermentation,YFR054C,1
AKL,245.5,26.Asian_fermentation,YFR054C,1
ALB,193.375,26.Asian_fermentation,YFR054C,1
AKR,183.625,26.Asian_fermentation,YFR054C,1
ALC,180,26.Asian_fermentation,YFR054C,<1
ALH,141.125,26.Asian_fermentation,YFR054C,<1
ALA,129.25,26.Asian_fermentation,YFR054C,1
CGQ,259.125,26.Asian_fermentation,YFR054C,1
CGK,295.125,26.Asian_fermentation,YFR054C,1
CHM,212,26.Asian_fermentation,YFR054C,1
BHP,182.5,26.Asian_fermentation,YFR054C,1
BHQ,175.875,26.Asian_fermentation,YFR054C,1
BHR,178.375,26.Asian_fermentation,YFR054C,1
BHS,161.125,26.Asian_fermentation,YFR054C,1
BEF,205,26.Asian_fermentation,YFR054C,1
CEK,213.5,26.Asian_fermentation,YFR054C,1
CEL,111,26.Asian_fermentation,YFR054C,1
BFC,344.375,01.Wine_European,MIP6,1
BKI,269.125,01.Wine_European,MIP6,1
BNV,198.75,01.Wine_European,MIP6,1
BPB,276.5,01.Wine_European,MIP6,1
BPT,285.375,01.Wine_European,MIP6,1
BQM,390,01.Wine_European,MIP6,1
BFK,164.5,01.Wine_European,MIP6,1
BQS,301.75,01.Wine_European,MIP6,1
BQE,200.125,01.Wine_European,MIP6,1
AIN,324,01.Wine_European,MIP6,1
BQR,449.875,01.Wine_European,MIP6,1
BLT,123.875,01.Wine_European,MIP6,1
AIF,237.625,01.Wine_European,MIP6,1
BPF,101.625,01.Wine_European,MIP6,>1
BLR,205.875,01.Wine_European,MIP6,1
BNL,269.375,01.Wine_European,MIP6,1
BPK,182.5,01.Wine_European,MIP6,1
BKQ,268.75,01.Wine_European,MIP6,1
BQT,225.125,01.Wine_European,MIP6,1
BID,191.875,01.Wine_European,MIP6,1
AGI,65.75,01.Wine_European,MIP6,>1
BHV,181.875,01.Wine_European,MIP6,1
BNE,231.875,01.Wine_European,MIP6,1
BLA,323.375,01.Wine_European,MIP6,1
BKT,388,01.Wine_European,MIP6,1
BIA,245.875,01.Wine_European,MIP6,1
BKL,359.625,01.Wine_European,MIP6,1
BIB,245.375,01.Wine_European,MIP6,1
BKK,316.625,01.Wine_European,MIP6,1
ASD,157.125,01.Wine_European,MIP6,1
ASE,200.75,01.Wine_European,MIP6,1
AIQ,313.375,01.Wine_European,MIP6,1
BLG,202.375,01.Wine_European,MIP6,1
BLI,180,01.Wine_European,MIP6,1
BQA,245.625,01.Wine_European,MIP6,1
ALQ,210.375,01.Wine_European,MIP6,1
BBI,190.625,01.Wine_European,MIP6,1
ALT,240.5,01.Wine_European,MIP6,1
BBK,235.125,01.Wine_European,MIP6,1
BFB,431,01.Wine_European,MIP6,1
BFD,216.625,01.Wine_European,MIP6,1
ALS,270.25,01.Wine_European,MIP6,1
BBH,214,01.Wine_European,MIP6,1
BPQ,516.75,01.Wine_European,MIP6,1
BQN,281.375,01.Wine_European,MIP6,1
CBI,326.875,01.Wine_European,MIP6,1
CCM,230.25,01.Wine_European,MIP6,1
BEP,376.75,01.Wine_European,MIP6,1
BRC,311.875,01.Wine_European,MIP6,1
CGT,483.375,01.Wine_European,MIP6,1
ALL,193.375,01.Wine_European,MIP6,1
BTH,233.75,01.Wine_European,MIP6,1
ATH,187.5,01.Wine_European,MIP6,1
BFQ,280.5,01.Wine_European,MIP6,1
CIA,204.125,01.Wine_European,MIP6,1
